idGeography,country
1,Australia
2,Bahamas
3,Bermuda
4,Brazil
5,Canada
6,Cayman Islands
7,Chile
8,China
9,Colombia
10,Costa Rica
11,Cyprus
12,Denmark
13,Egypt
14,Finland
15,France
16,Germany
17,Greece
18,Hong Kong
19,India
20,Ireland
21,Israel
22,Italy
23,Jersey
24,Kazakhstan
25,"Korea, Republic of"
26,Luxembourg
27,Mexico
28,Monaco
29,"Netherlands, Kingdom of the"
30,Norway
31,Panama
32,Peru
33,Singapore
34,Spain
35,Sweden
36,Switzerland
37,Taiwan
38,Thailand
39,Turkey
40,United Kingdom of Great Britain and Northern Ireland
41,United States of America
42,Virgin Islands (British)
