idTime,idSymbol,idTransactionType,idGeography,numberOfTransactions,sumUnit
1,6.0,1,41.0,9,507.0
1,6.0,3,41.0,10,440.0
1,26.0,1,3.0,4,2000.0
1,37.0,1,20.0,7,172.0
1,97.0,1,41.0,1,115.0
1,97.0,3,41.0,1,27.0
1,101.0,1,41.0,2,169.0
1,101.0,3,41.0,2,85.0
1,126.0,3,20.0,4,118.0
1,140.0,3,26.0,4,2000.0
1,149.0,1,36.0,7,1083.0
1,149.0,3,36.0,3,179.0
1,151.0,1,41.0,28,1136.0
1,151.0,3,41.0,28,1631.0
1,176.0,1,27.0,2,268.0
1,176.0,3,27.0,3,350.0
1,177.0,1,41.0,9,607.0
1,177.0,3,41.0,9,670.0
1,207.0,1,41.0,17,353.0
1,207.0,3,41.0,18,527.0
1,219.0,1,41.0,13,746.0
1,219.0,3,41.0,11,652.0
1,227.0,1,40.0,33,2277.0
1,227.0,3,40.0,32,2748.0
1,241.0,1,3.0,6,264.0
1,241.0,3,3.0,1,30.0
1,246.0,1,29.0,8,1057.0
1,246.0,2,29.0,1,60.0
1,246.0,3,29.0,8,316.0
1,255.0,3,37.0,4,187.0
1,261.0,3,8.0,2,110.0
1,319.0,1,41.0,2,89.0
1,319.0,3,41.0,2,67.0
1,329.0,1,32.0,1,1605.0
1,329.0,3,32.0,2,2519.0
1,401.0,1,41.0,5,1044.0
1,401.0,2,41.0,1,58.0
1,401.0,3,41.0,5,307.0
1,402.0,1,41.0,2,32.0
1,402.0,3,41.0,2,32.0
1,414.0,1,41.0,10,746.0
1,414.0,2,41.0,1,58.0
1,414.0,3,41.0,11,419.0
1,439.0,1,3.0,3,47.0
1,439.0,3,3.0,4,62.0
1,505.0,1,5.0,2,42.0
1,505.0,3,5.0,3,52.0
1,655.0,3,40.0,10,284.0
1,697.0,1,31.0,1,49.0
1,697.0,3,31.0,3,290.0
1,725.0,1,41.0,3,312.0
1,725.0,3,41.0,3,152.0
1,737.0,1,41.0,2,29.0
1,737.0,2,41.0,1,60.0
1,737.0,3,41.0,2,29.0
1,767.0,1,16.0,8,666.0
1,770.0,1,5.0,1,46.0
1,770.0,3,5.0,1,32.0
1,805.0,3,41.0,2,74.0
1,852.0,2,41.0,23,1520.0
1,874.0,1,20.0,4,195.0
1,874.0,3,20.0,1,45.0
1,892.0,3,16.0,6,193.0
1,934.0,1,8.0,8,637.0
1,934.0,3,8.0,20,737.0
1,999.0,3,29.0,9,331.0
1,1092.0,1,8.0,19,1026.0
1,1258.0,1,41.0,11,454.0
1,1258.0,3,41.0,11,1209.0
1,1277.0,1,36.0,9,399.0
1,1359.0,1,8.0,20,1268.0
1,1444.0,3,40.0,2,71.0
1,1452.0,1,5.0,3,236.0
1,1452.0,3,5.0,2,85.0
1,1467.0,3,19.0,12,562.0
1,1482.0,1,41.0,8,146.0
1,1482.0,3,41.0,8,146.0
1,1558.0,1,41.0,5,230.0
1,1558.0,3,41.0,4,147.0
1,1605.0,1,40.0,1,74.0
1,1605.0,3,40.0,14,535.0
1,1689.0,1,40.0,1,144.0
1,1689.0,3,40.0,14,686.0
1,1697.0,1,41.0,6,807.0
1,1697.0,3,41.0,5,219.0
1,1735.0,1,19.0,2,144.0
1,1738.0,3,5.0,1,107.0
1,1761.0,1,41.0,5,298.0
1,1761.0,3,41.0,5,175.0
1,1852.0,3,36.0,15,1166.0
1,1900.0,1,41.0,8,673.0
1,1900.0,2,41.0,2,116.0
1,1900.0,3,41.0,9,484.0
1,1958.0,1,41.0,3,153.0
1,1958.0,3,41.0,5,147.0
1,1980.0,1,8.0,4,213.0
1,1980.0,3,8.0,4,157.0
1,2002.0,1,40.0,18,1850.0
1,2043.0,3,36.0,9,308.0
1,2116.0,1,36.0,11,1615.0
1,2164.0,1,4.0,3,122.0
1,2164.0,3,4.0,3,122.0
1,2236.0,3,29.0,12,299.0
1,2275.0,1,40.0,6,369.0
1,2318.0,1,40.0,2,612.0
1,2318.0,3,40.0,1,303.0
1,2384.0,1,41.0,5,61.0
1,2384.0,3,41.0,4,351.0
1,2425.0,1,36.0,2,49.0
1,2425.0,3,36.0,2,49.0
1,2457.0,1,40.0,14,345.0
1,2492.0,1,20.0,16,544.0
1,2492.0,3,20.0,1,43.0
1,2527.0,3,41.0,1,40.0
1,2544.0,1,21.0,1,82.0
1,2544.0,3,21.0,5,258.0
1,2607.0,1,5.0,8,374.0
1,2625.0,1,16.0,1,69.0
1,2625.0,3,16.0,2,83.0
1,2641.0,1,41.0,1,68.0
1,2641.0,3,41.0,1,55.0
1,2665.0,1,26.0,1,129.0
1,2704.0,1,6.0,1,28.0
1,2705.0,1,28.0,1,221.0
1,2705.0,3,28.0,1,107.0
1,2762.0,1,5.0,4,547.0
1,2762.0,3,5.0,6,224.0
1,2764.0,1,41.0,2,26.0
1,2764.0,3,41.0,2,26.0
1,2775.0,3,20.0,1,73.0
1,2807.0,1,4.0,30,680.0
1,2807.0,3,4.0,29,653.0
1,2852.0,1,41.0,1,60.0
1,2852.0,3,41.0,1,60.0
1,2869.0,1,41.0,15,717.0
1,2869.0,3,41.0,15,552.0
1,2870.0,1,37.0,17,744.0
1,2870.0,3,37.0,16,1291.0
1,2968.0,1,41.0,3,170.0
1,2968.0,2,41.0,1,60.0
1,2968.0,3,41.0,3,83.0
1,3055.0,3,8.0,9,369.0
1,3064.0,1,41.0,3,41.0
1,3064.0,3,41.0,3,41.0
1,3159.0,1,41.0,3,188.0
1,3159.0,3,41.0,2,119.0
1,3164.0,1,8.0,3,126.0
1,3164.0,2,8.0,1,58.0
1,3164.0,3,8.0,21,1070.0
1,3183.0,1,8.0,6,656.0
2,6.0,1,41.0,5,231.0
2,6.0,2,41.0,1,57.0
2,6.0,3,41.0,4,142.0
2,26.0,1,3.0,4,826.0
2,37.0,1,20.0,4,82.0
2,42.0,1,41.0,1,101.0
2,126.0,3,20.0,5,200.0
2,140.0,3,26.0,2,413.0
2,149.0,3,36.0,2,58.0
2,151.0,1,41.0,7,881.0
2,151.0,3,41.0,7,403.0
2,177.0,1,41.0,4,163.0
2,177.0,3,41.0,5,157.0
2,207.0,1,41.0,2,131.0
2,207.0,3,41.0,2,109.0
2,219.0,1,41.0,2,174.0
2,219.0,3,41.0,4,268.0
2,227.0,1,40.0,7,463.0
2,227.0,3,40.0,8,355.0
2,241.0,1,3.0,4,181.0
2,246.0,1,29.0,4,638.0
2,246.0,3,29.0,3,165.0
2,255.0,1,37.0,2,203.0
2,255.0,3,37.0,5,362.0
2,261.0,3,8.0,7,387.0
2,329.0,1,32.0,2,155.0
2,329.0,3,32.0,2,155.0
2,414.0,1,41.0,4,403.0
2,414.0,2,41.0,2,110.0
2,414.0,3,41.0,2,91.0
2,449.0,1,4.0,10,156.0
2,449.0,3,4.0,8,147.0
2,477.0,1,32.0,1,30.0
2,477.0,3,32.0,1,30.0
2,484.0,1,27.0,2,223.0
2,484.0,3,27.0,1,48.0
2,557.0,1,41.0,2,225.0
2,557.0,3,41.0,2,54.0
2,655.0,1,40.0,3,538.0
2,767.0,1,16.0,4,560.0
2,770.0,1,5.0,4,195.0
2,770.0,3,5.0,4,136.0
2,832.0,1,41.0,1,133.0
2,834.0,1,42.0,5,180.0
